------------------------------
  Elements     Atomic Weight  
------------------------------
  1.	C         12.01099968
  2.	H          1.00800002
  3.	N         14.00699997
  4.	HE         4.00299978
------------------------------


--------------------------------------------------------------------------------------------------------------
                                                Molecular        Temperature        Elements
  Species                  Phase  Charge         weight         Low      High       C       H       N      HE
--------------------------------------------------------------------------------------------------------------
    1. N2                    G      0           28.014000    200.00   6000.00       0       0       2       0
    2. HE                    G      0            4.003000    200.00   6000.00       0       0       0       1
    3. P-HDPE-P_S            G      0          561.079988    200.00   2000.00      40      80       0       0
    4. P-HDPE-P              G      0          561.079988    200.00   2000.00      40      80       0       0
    5. P-NC40H79-P           G      0          560.071988    200.00   2000.00      40      79       0       0
    6. P-NC40H81             G      0          562.087988    200.00   2000.00      40      81       0       0
    7. P-NC40H79             G      0          560.071988    200.00   2000.00      40      79       0       0
    8. P-NC40H80             G      0          561.079988    200.00   2000.00      40      80       0       0
    9. P-NC40H80_T           G      0          561.079988    200.00   2000.00      40      80       0       0
   10. P-NC40H78             G      0          559.063988    200.00   2000.00      40      78       0       0
   11. P-NC40H78_A           G      0          559.063988    200.00   2000.00      40      78       0       0
   12. CH4                   G      0           16.043000    300.00   4000.00       1       4       0       0
   13. C2H6                  G      0           30.069999    300.00   4000.00       2       6       0       0
   14. C3H8                  G      0           44.096999    300.00   4000.00       3       8       0       0
   15. NC4H10                G      0           58.123999    300.00   4000.00       4      10       0       0
   16. NC5H12                G      0           72.150999    300.00   4000.00       5      12       0       0
   17. NC6H14                G      0           86.177998    200.00   2000.00       6      14       0       0
   18. NC7H16                G      0          100.204998    300.00   4000.00       7      16       0       0
   19. NC8H18                G      0          114.231998    200.00   2000.00       8      18       0       0
   20. NC9H20                G      0          128.258997    200.00   2000.00       9      20       0       0
   21. NC10H22               G      0          142.285997    300.00   4000.00      10      22       0       0
   22. NC11H24               G      0          156.312997    200.00   2000.00      11      24       0       0
   23. NC12H26               G      0          170.339997    300.00   4000.00      12      26       0       0
   24. C2H4                  G      0           28.053999    300.00   4000.00       2       4       0       0
   25. C3H6                  G      0           42.080999    298.00   6000.00       3       6       0       0
   26. C4H8-1                G      0           56.107999    300.00   4000.00       4       8       0       0
   27. NC5H10                G      0           70.134999    300.00   4000.00       5      10       0       0
   28. NC6H12                G      0           84.161998    300.00   4000.00       6      12       0       0
   29. NC7H14                G      0           98.188998    300.00   4000.00       7      14       0       0
   30. NC8H16                G      0          112.215998    200.00   2000.00       8      16       0       0
   31. NC9H18                G      0          126.242997    200.00   2000.00       9      18       0       0
   32. NC10H20               G      0          140.269997    300.00   4000.00      10      20       0       0
   33. NC11H22               G      0          154.296997    200.00   2000.00      11      22       0       0
   34. NC12H24               G      0          168.323997    200.00   2000.00      12      24       0       0
   35. C4H6                  G      0           54.091999    200.00   6000.00       4       6       0       0
   36. LC5H8                 G      0           68.118999    300.00   4000.00       5       8       0       0
   37. DIALLYL               G      0           82.145998    300.00   4000.00       6      10       0       0
   38. NC7H12                G      0           96.172998    200.00   2000.00       7      12       0       0
   39. NC8H14                G      0          110.199998    200.00   2000.00       8      14       0       0
   40. NC9H16                G      0          124.226997    200.00   2000.00       9      16       0       0
   41. NC10H18               G      0          138.253997    200.00   2000.00      10      18       0       0
   42. NC11H20               G      0          152.280997    200.00   2000.00      11      20       0       0
   43. NC12H22               G      0          166.307997    200.00   2000.00      12      22       0       0
   44. NC16H34               G      0          226.447995    300.00   4000.00      16      34       0       0
   45. NC30H62               G      0          422.825991    200.00   2000.00      30      62       0       0
   46. NC45H92               G      0          633.230987    200.00   2000.00      45      92       0       0
   47. NC60H122              G      0          843.635983    200.00   2000.00      60     122       0       0
   48. NC16H32               G      0          224.431995    200.00   2000.00      16      32       0       0
   49. NC30H60               G      0          420.809991    200.00   2000.00      30      60       0       0
   50. NC45H90               G      0          631.214987    200.00   2000.00      45      90       0       0
   51. NC60H120              G      0          841.619983    200.00   2000.00      60     120       0       0
   52. NC16H30               G      0          222.415995    200.00   2000.00      16      30       0       0
   53. NC30H58               G      0          418.793991    200.00   2000.00      30      58       0       0
   54. NC45H88               G      0          629.198987    200.00   2000.00      45      88       0       0
   55. NC60H118              G      0          839.603983    200.00   2000.00      60     118       0       0
   56. NC16H33               G      0          225.439995    300.00   4000.00      16      33       0       0
   57. NC30H61               G      0          421.817991    200.00   2000.00      30      61       0       0
   58. NC45H91               G      0          632.222987    200.00   2000.00      45      91       0       0
   59. NC60H121              G      0          842.627983    200.00   2000.00      60     121       0       0
   60. NC16H33_T             G      0          225.439995    200.00   2000.00      16      33       0       0
   61. NC30H61_T             G      0          421.817991    200.00   2000.00      30      61       0       0
   62. NC45H91_T             G      0          632.222987    200.00   2000.00      45      91       0       0
   63. NC60H121_T            G      0          842.627983    200.00   2000.00      60     121       0       0
   64. NC16H31               G      0          223.423995    200.00   2000.00      16      31       0       0
   65. NC30H59               G      0          419.801991    200.00   2000.00      30      59       0       0
   66. NC45H89               G      0          630.206987    200.00   2000.00      45      89       0       0
   67. NC60H119              G      0          840.611983    200.00   2000.00      60     119       0       0
   68. NC16H31_T             G      0          223.423995    200.00   2000.00      16      31       0       0
   69. NC30H59_T             G      0          419.801991    200.00   2000.00      30      59       0       0
   70. NC45H89_T             G      0          630.206987    200.00   2000.00      45      89       0       0
   71. NC60H119_T            G      0          840.611983    200.00   2000.00      60     119       0       0
   72. NC16H31_A             G      0          223.423995    200.00   2000.00      16      31       0       0
   73. NC30H59_A             G      0          419.801991    200.00   2000.00      30      59       0       0
   74. NC45H89_A             G      0          630.206987    200.00   2000.00      45      89       0       0
   75. NC60H119_A            G      0          840.611983    200.00   2000.00      60     119       0       0
   76. NC16H29               G      0          221.407995    200.00   2000.00      16      29       0       0
   77. NC30H57               G      0          417.785991    200.00   2000.00      30      57       0       0
   78. NC45H87               G      0          628.190987    200.00   2000.00      45      87       0       0
   79. NC60H117              G      0          838.595983    200.00   2000.00      60     117       0       0
   80. NC16H29_A             G      0          221.407995    200.00   2000.00      16      29       0       0
   81. NC30H57_A             G      0          417.785991    200.00   2000.00      30      57       0       0
   82. NC45H87_A             G      0          628.190987    200.00   2000.00      45      87       0       0
   83. NC60H117_A            G      0          838.595983    200.00   2000.00      60     117       0       0
--------------------------------------------------------------------------------------------------------------

--------------------------------------------------------------------------------------------------------------
                                                Molecular        Temperature        Elements
  Species                  Phase  Charge         weight         Low      High       C       H       N      HE
--------------------------------------------------------------------------------------------------------------
    2. HE                    G      0            4.003000    200.00   6000.00       0       0       0       1
    1. N2                    G      0           28.014000    200.00   6000.00       0       0       2       0
   12. CH4                   G      0           16.043000    300.00   4000.00       1       4       0       0
   24. C2H4                  G      0           28.053999    300.00   4000.00       2       4       0       0
   13. C2H6                  G      0           30.069999    300.00   4000.00       2       6       0       0
   25. C3H6                  G      0           42.080999    298.00   6000.00       3       6       0       0
   14. C3H8                  G      0           44.096999    300.00   4000.00       3       8       0       0
   35. C4H6                  G      0           54.091999    200.00   6000.00       4       6       0       0
   26. C4H8-1                G      0           56.107999    300.00   4000.00       4       8       0       0
   15. NC4H10                G      0           58.123999    300.00   4000.00       4      10       0       0
   36. LC5H8                 G      0           68.118999    300.00   4000.00       5       8       0       0
   16. NC5H12                G      0           72.150999    300.00   4000.00       5      12       0       0
   27. NC5H10                G      0           70.134999    300.00   4000.00       5      10       0       0
   37. DIALLYL               G      0           82.145998    300.00   4000.00       6      10       0       0
   17. NC6H14                G      0           86.177998    200.00   2000.00       6      14       0       0
   28. NC6H12                G      0           84.161998    300.00   4000.00       6      12       0       0
   38. NC7H12                G      0           96.172998    200.00   2000.00       7      12       0       0
   29. NC7H14                G      0           98.188998    300.00   4000.00       7      14       0       0
   18. NC7H16                G      0          100.204998    300.00   4000.00       7      16       0       0
   39. NC8H14                G      0          110.199998    200.00   2000.00       8      14       0       0
   30. NC8H16                G      0          112.215998    200.00   2000.00       8      16       0       0
   19. NC8H18                G      0          114.231998    200.00   2000.00       8      18       0       0
   40. NC9H16                G      0          124.226997    200.00   2000.00       9      16       0       0
   31. NC9H18                G      0          126.242997    200.00   2000.00       9      18       0       0
   20. NC9H20                G      0          128.258997    200.00   2000.00       9      20       0       0
   41. NC10H18               G      0          138.253997    200.00   2000.00      10      18       0       0
   32. NC10H20               G      0          140.269997    300.00   4000.00      10      20       0       0
   21. NC10H22               G      0          142.285997    300.00   4000.00      10      22       0       0
   42. NC11H20               G      0          152.280997    200.00   2000.00      11      20       0       0
   33. NC11H22               G      0          154.296997    200.00   2000.00      11      22       0       0
   22. NC11H24               G      0          156.312997    200.00   2000.00      11      24       0       0
   43. NC12H22               G      0          166.307997    200.00   2000.00      12      22       0       0
   34. NC12H24               G      0          168.323997    200.00   2000.00      12      24       0       0
   23. NC12H26               G      0          170.339997    300.00   4000.00      12      26       0       0
   76. NC16H29               G      0          221.407995    200.00   2000.00      16      29       0       0
   80. NC16H29_A             G      0          221.407995    200.00   2000.00      16      29       0       0
   52. NC16H30               G      0          222.415995    200.00   2000.00      16      30       0       0
   72. NC16H31_A             G      0          223.423995    200.00   2000.00      16      31       0       0
   64. NC16H31               G      0          223.423995    200.00   2000.00      16      31       0       0
   68. NC16H31_T             G      0          223.423995    200.00   2000.00      16      31       0       0
   48. NC16H32               G      0          224.431995    200.00   2000.00      16      32       0       0
   60. NC16H33_T             G      0          225.439995    200.00   2000.00      16      33       0       0
   56. NC16H33               G      0          225.439995    300.00   4000.00      16      33       0       0
   44. NC16H34               G      0          226.447995    300.00   4000.00      16      34       0       0
   77. NC30H57               G      0          417.785991    200.00   2000.00      30      57       0       0
   81. NC30H57_A             G      0          417.785991    200.00   2000.00      30      57       0       0
   53. NC30H58               G      0          418.793991    200.00   2000.00      30      58       0       0
   69. NC30H59_T             G      0          419.801991    200.00   2000.00      30      59       0       0
   65. NC30H59               G      0          419.801991    200.00   2000.00      30      59       0       0
   73. NC30H59_A             G      0          419.801991    200.00   2000.00      30      59       0       0
   49. NC30H60               G      0          420.809991    200.00   2000.00      30      60       0       0
   57. NC30H61               G      0          421.817991    200.00   2000.00      30      61       0       0
   61. NC30H61_T             G      0          421.817991    200.00   2000.00      30      61       0       0
   45. NC30H62               G      0          422.825991    200.00   2000.00      30      62       0       0
   10. P-NC40H78             G      0          559.063988    200.00   2000.00      40      78       0       0
   11. P-NC40H78_A           G      0          559.063988    200.00   2000.00      40      78       0       0
    5. P-NC40H79-P           G      0          560.071988    200.00   2000.00      40      79       0       0
    7. P-NC40H79             G      0          560.071988    200.00   2000.00      40      79       0       0
    3. P-HDPE-P_S            G      0          561.079988    200.00   2000.00      40      80       0       0
    4. P-HDPE-P              G      0          561.079988    200.00   2000.00      40      80       0       0
    9. P-NC40H80_T           G      0          561.079988    200.00   2000.00      40      80       0       0
    8. P-NC40H80             G      0          561.079988    200.00   2000.00      40      80       0       0
    6. P-NC40H81             G      0          562.087988    200.00   2000.00      40      81       0       0
   78. NC45H87               G      0          628.190987    200.00   2000.00      45      87       0       0
   82. NC45H87_A             G      0          628.190987    200.00   2000.00      45      87       0       0
   54. NC45H88               G      0          629.198987    200.00   2000.00      45      88       0       0
   66. NC45H89               G      0          630.206987    200.00   2000.00      45      89       0       0
   70. NC45H89_T             G      0          630.206987    200.00   2000.00      45      89       0       0
   74. NC45H89_A             G      0          630.206987    200.00   2000.00      45      89       0       0
   50. NC45H90               G      0          631.214987    200.00   2000.00      45      90       0       0
   58. NC45H91               G      0          632.222987    200.00   2000.00      45      91       0       0
   62. NC45H91_T             G      0          632.222987    200.00   2000.00      45      91       0       0
   46. NC45H92               G      0          633.230987    200.00   2000.00      45      92       0       0
   83. NC60H117_A            G      0          838.595983    200.00   2000.00      60     117       0       0
   79. NC60H117              G      0          838.595983    200.00   2000.00      60     117       0       0
   55. NC60H118              G      0          839.603983    200.00   2000.00      60     118       0       0
   67. NC60H119              G      0          840.611983    200.00   2000.00      60     119       0       0
   75. NC60H119_A            G      0          840.611983    200.00   2000.00      60     119       0       0
   71. NC60H119_T            G      0          840.611983    200.00   2000.00      60     119       0       0
   51. NC60H120              G      0          841.619983    200.00   2000.00      60     120       0       0
