-----------------------------------------------------------------------------------------------------------------------------------------------------
Name                              MW       Cp@298K        H@298K        G@298K        S@298K      Cp@1000K       H@1000K       G@1000K       S@1000K 
                           [kg/kmol]   [cal/mol/K]    [kcal/mol]    [kcal/mol]   [cal/mol/K]   [cal/mol/K]    [kcal/mol]    [kcal/mol]   [cal/mol/K] 
-----------------------------------------------------------------------------------------------------------------------------------------------------
N2                           28.0140        6.9601       -0.0010      -13.6455       45.7869        7.8072        5.1295      -49.3995       54.5290
HE                            4.0030        4.9675       -0.0007       -8.9842       30.1457        4.9675        3.4864      -32.6732       36.1596
P-HDPE-P_S                  561.0800      217.7377     -283.6055     -349.2426      220.2584      671.9615       84.8552     -708.8034      793.6586
P-HDPE-P                    561.0800      285.9902     -247.6590     -349.5762      342.0041      497.9100       32.9589     -766.9781      799.9370
P-NC40H79-P                 560.0720      285.7929     -201.5938     -300.3354      331.3475      493.2925       77.0989     -709.4529      786.5518
P-NC40H81                   562.0880      287.8656     -252.0907     -308.2128      188.3292      499.8419       29.6821     -618.5990      648.2812
P-NC40H79                   560.0720      304.2721     -234.6947     -294.5451      200.8404      516.9159       58.0103     -621.6162      679.6265
P-NC40H80                   561.0800      287.6683     -206.0256     -258.9720      177.6726      495.2244       73.8222     -561.0738      634.8960
P-NC40H80_T                 561.0800      287.7750     -202.9096     -257.8485      184.3587      496.1088       77.5191     -564.9369      642.4560
P-NC40H78                   559.0640      304.0748     -188.6295     -245.3043      190.1839      512.2984      102.1504     -564.0910      666.2414
P-NC40H78_A                 559.0640      303.9668     -201.2001     -257.7647      189.8142      514.0803       90.3500     -576.5726      666.9226
CH4                          16.0430        8.5282      -17.8292      -31.1005       44.5346       17.6207       -8.5856      -67.9261       59.3405
C2H6                         30.0700       12.5424      -20.0407      -36.3630       54.7729       29.3195       -4.6460      -83.8933       79.2473
C3H8                         44.0970       17.5793      -25.0190      -44.2671       64.5909       41.7838       -2.9286     -102.6368       99.7082
NC4H10                       58.1240       23.5567      -30.0625      -52.1174       74.0096       54.3400       -1.0297     -121.3285      120.2988
NC5H12                       72.1510       28.6526      -35.0967      -59.9432       83.3775       66.5352        0.4823     -139.6107      140.0930
NC6H14                       86.1780       34.5561      -40.0591      -67.8742       93.3392       79.1004        2.4444     -158.7269      161.1713
NC7H16                      100.2050       39.5680      -45.0105      -75.4781      102.2402       91.1739        3.9157     -176.3749      180.2907
NC8H18                      114.2320       45.6554      -50.0703      -83.6255      112.6015      104.0623        6.0169     -196.1476      202.1645
NC9H20                      128.2590       51.2051      -55.0759      -91.5012      122.2326      116.5432        7.8031     -214.8580      222.6611
